date_key,date,year,month,quarter,day_of_week,week_of_year,year_month
20190918,2019-09-18,2019,9,3,2,38,2019-09
20190919,2019-09-19,2019,9,3,3,38,2019-09
20190920,2019-09-20,2019,9,3,4,38,2019-09
20190921,2019-09-21,2019,9,3,5,38,2019-09
20190922,2019-09-22,2019,9,3,6,38,2019-09
20190923,2019-09-23,2019,9,3,0,39,2019-09
20190924,2019-09-24,2019,9,3,1,39,2019-09
20190925,2019-09-25,2019,9,3,2,39,2019-09
20190926,2019-09-26,2019,9,3,3,39,2019-09
20190927,2019-09-27,2019,9,3,4,39,2019-09
20190928,2019-09-28,2019,9,3,5,39,2019-09
20190929,2019-09-29,2019,9,3,6,39,2019-09
20190930,2019-09-30,2019,9,3,0,40,2019-09
20191001,2019-10-01,2019,10,4,1,40,2019-10
20191002,2019-10-02,2019,10,4,2,40,2019-10
20191003,2019-10-03,2019,10,4,3,40,2019-10
20191004,2019-10-04,2019,10,4,4,40,2019-10
20191005,2019-10-05,2019,10,4,5,40,2019-10
20191006,2019-10-06,2019,10,4,6,40,2019-10
20191007,2019-10-07,2019,10,4,0,41,2019-10
20191008,2019-10-08,2019,10,4,1,41,2019-10
20191009,2019-10-09,2019,10,4,2,41,2019-10
20191010,2019-10-10,2019,10,4,3,41,2019-10
20191011,2019-10-11,2019,10,4,4,41,2019-10
20191012,2019-10-12,2019,10,4,5,41,2019-10
20191013,2019-10-13,2019,10,4,6,41,2019-10
20191014,2019-10-14,2019,10,4,0,42,2019-10
20191015,2019-10-15,2019,10,4,1,42,2019-10
20191016,2019-10-16,2019,10,4,2,42,2019-10
20191017,2019-10-17,2019,10,4,3,42,2019-10
20191018,2019-10-18,2019,10,4,4,42,2019-10
20191019,2019-10-19,2019,10,4,5,42,2019-10
20191020,2019-10-20,2019,10,4,6,42,2019-10
20191021,2019-10-21,2019,10,4,0,43,2019-10
20191022,2019-10-22,2019,10,4,1,43,2019-10
20191023,2019-10-23,2019,10,4,2,43,2019-10
20191024,2019-10-24,2019,10,4,3,43,2019-10
20191025,2019-10-25,2019,10,4,4,43,2019-10
20191026,2019-10-26,2019,10,4,5,43,2019-10
20191027,2019-10-27,2019,10,4,6,43,2019-10
20191028,2019-10-28,2019,10,4,0,44,2019-10
20191029,2019-10-29,2019,10,4,1,44,2019-10
20191030,2019-10-30,2019,10,4,2,44,2019-10
20191031,2019-10-31,2019,10,4,3,44,2019-10
20191101,2019-11-01,2019,11,4,4,44,2019-11
20191102,2019-11-02,2019,11,4,5,44,2019-11
20191103,2019-11-03,2019,11,4,6,44,2019-11
20191104,2019-11-04,2019,11,4,0,45,2019-11
20191105,2019-11-05,2019,11,4,1,45,2019-11
20191106,2019-11-06,2019,11,4,2,45,2019-11
20191107,2019-11-07,2019,11,4,3,45,2019-11
20191108,2019-11-08,2019,11,4,4,45,2019-11
20191109,2019-11-09,2019,11,4,5,45,2019-11
20191110,2019-11-10,2019,11,4,6,45,2019-11
20191111,2019-11-11,2019,11,4,0,46,2019-11
20191112,2019-11-12,2019,11,4,1,46,2019-11
20191113,2019-11-13,2019,11,4,2,46,2019-11
20191114,2019-11-14,2019,11,4,3,46,2019-11
20191115,2019-11-15,2019,11,4,4,46,2019-11
20191116,2019-11-16,2019,11,4,5,46,2019-11
20191117,2019-11-17,2019,11,4,6,46,2019-11
20191118,2019-11-18,2019,11,4,0,47,2019-11
20191119,2019-11-19,2019,11,4,1,47,2019-11
20191120,2019-11-20,2019,11,4,2,47,2019-11
20191121,2019-11-21,2019,11,4,3,47,2019-11
20191122,2019-11-22,2019,11,4,4,47,2019-11
20191123,2019-11-23,2019,11,4,5,47,2019-11
20191124,2019-11-24,2019,11,4,6,47,2019-11
20191125,2019-11-25,2019,11,4,0,48,2019-11
20191126,2019-11-26,2019,11,4,1,48,2019-11
20191127,2019-11-27,2019,11,4,2,48,2019-11
20191128,2019-11-28,2019,11,4,3,48,2019-11
20191129,2019-11-29,2019,11,4,4,48,2019-11
20191130,2019-11-30,2019,11,4,5,48,2019-11
20191201,2019-12-01,2019,12,4,6,48,2019-12
20191202,2019-12-02,2019,12,4,0,49,2019-12
20191203,2019-12-03,2019,12,4,1,49,2019-12
20191204,2019-12-04,2019,12,4,2,49,2019-12
20191205,2019-12-05,2019,12,4,3,49,2019-12
20191206,2019-12-06,2019,12,4,4,49,2019-12
20191207,2019-12-07,2019,12,4,5,49,2019-12
20191208,2019-12-08,2019,12,4,6,49,2019-12
20191209,2019-12-09,2019,12,4,0,50,2019-12
20191210,2019-12-10,2019,12,4,1,50,2019-12
20191211,2019-12-11,2019,12,4,2,50,2019-12
20191212,2019-12-12,2019,12,4,3,50,2019-12
20191213,2019-12-13,2019,12,4,4,50,2019-12
20191214,2019-12-14,2019,12,4,5,50,2019-12
20191215,2019-12-15,2019,12,4,6,50,2019-12
20191216,2019-12-16,2019,12,4,0,51,2019-12
20191217,2019-12-17,2019,12,4,1,51,2019-12
20191218,2019-12-18,2019,12,4,2,51,2019-12
20191219,2019-12-19,2019,12,4,3,51,2019-12
20191220,2019-12-20,2019,12,4,4,51,2019-12
20191221,2019-12-21,2019,12,4,5,51,2019-12
20191222,2019-12-22,2019,12,4,6,51,2019-12
20191223,2019-12-23,2019,12,4,0,52,2019-12
20191224,2019-12-24,2019,12,4,1,52,2019-12
20191225,2019-12-25,2019,12,4,2,52,2019-12
20191226,2019-12-26,2019,12,4,3,52,2019-12
20191227,2019-12-27,2019,12,4,4,52,2019-12
20191228,2019-12-28,2019,12,4,5,52,2019-12
20191229,2019-12-29,2019,12,4,6,52,2019-12
20191230,2019-12-30,2019,12,4,0,1,2019-12
20191231,2019-12-31,2019,12,4,1,1,2019-12
20200101,2020-01-01,2020,1,1,2,1,2020-01
20200102,2020-01-02,2020,1,1,3,1,2020-01
20200103,2020-01-03,2020,1,1,4,1,2020-01
20200104,2020-01-04,2020,1,1,5,1,2020-01
20200105,2020-01-05,2020,1,1,6,1,2020-01
20200106,2020-01-06,2020,1,1,0,2,2020-01
20200107,2020-01-07,2020,1,1,1,2,2020-01
20200108,2020-01-08,2020,1,1,2,2,2020-01
20200109,2020-01-09,2020,1,1,3,2,2020-01
20200110,2020-01-10,2020,1,1,4,2,2020-01
20200111,2020-01-11,2020,1,1,5,2,2020-01
20200112,2020-01-12,2020,1,1,6,2,2020-01
20200113,2020-01-13,2020,1,1,0,3,2020-01
20200114,2020-01-14,2020,1,1,1,3,2020-01
20200115,2020-01-15,2020,1,1,2,3,2020-01
20200116,2020-01-16,2020,1,1,3,3,2020-01
20200117,2020-01-17,2020,1,1,4,3,2020-01
20200118,2020-01-18,2020,1,1,5,3,2020-01
20200119,2020-01-19,2020,1,1,6,3,2020-01
20200120,2020-01-20,2020,1,1,0,4,2020-01
20200121,2020-01-21,2020,1,1,1,4,2020-01
20200122,2020-01-22,2020,1,1,2,4,2020-01
20200123,2020-01-23,2020,1,1,3,4,2020-01
20200124,2020-01-24,2020,1,1,4,4,2020-01
20200125,2020-01-25,2020,1,1,5,4,2020-01
20200126,2020-01-26,2020,1,1,6,4,2020-01
20200127,2020-01-27,2020,1,1,0,5,2020-01
20200128,2020-01-28,2020,1,1,1,5,2020-01
20200129,2020-01-29,2020,1,1,2,5,2020-01
20200130,2020-01-30,2020,1,1,3,5,2020-01
20200131,2020-01-31,2020,1,1,4,5,2020-01
20200201,2020-02-01,2020,2,1,5,5,2020-02
20200202,2020-02-02,2020,2,1,6,5,2020-02
20200203,2020-02-03,2020,2,1,0,6,2020-02
20200204,2020-02-04,2020,2,1,1,6,2020-02
20200205,2020-02-05,2020,2,1,2,6,2020-02
20200206,2020-02-06,2020,2,1,3,6,2020-02
20200207,2020-02-07,2020,2,1,4,6,2020-02
20200208,2020-02-08,2020,2,1,5,6,2020-02
20200209,2020-02-09,2020,2,1,6,6,2020-02
20200210,2020-02-10,2020,2,1,0,7,2020-02
20200211,2020-02-11,2020,2,1,1,7,2020-02
20200212,2020-02-12,2020,2,1,2,7,2020-02
20200213,2020-02-13,2020,2,1,3,7,2020-02
20200214,2020-02-14,2020,2,1,4,7,2020-02
20200215,2020-02-15,2020,2,1,5,7,2020-02
20200216,2020-02-16,2020,2,1,6,7,2020-02
20200217,2020-02-17,2020,2,1,0,8,2020-02
20200218,2020-02-18,2020,2,1,1,8,2020-02
20200219,2020-02-19,2020,2,1,2,8,2020-02
20200220,2020-02-20,2020,2,1,3,8,2020-02
20200221,2020-02-21,2020,2,1,4,8,2020-02
20200222,2020-02-22,2020,2,1,5,8,2020-02
20200223,2020-02-23,2020,2,1,6,8,2020-02
20200224,2020-02-24,2020,2,1,0,9,2020-02
20200225,2020-02-25,2020,2,1,1,9,2020-02
20200226,2020-02-26,2020,2,1,2,9,2020-02
20200227,2020-02-27,2020,2,1,3,9,2020-02
20200228,2020-02-28,2020,2,1,4,9,2020-02
20200229,2020-02-29,2020,2,1,5,9,2020-02
20200301,2020-03-01,2020,3,1,6,9,2020-03
20200302,2020-03-02,2020,3,1,0,10,2020-03
20200303,2020-03-03,2020,3,1,1,10,2020-03
20200304,2020-03-04,2020,3,1,2,10,2020-03
20200305,2020-03-05,2020,3,1,3,10,2020-03
20200306,2020-03-06,2020,3,1,4,10,2020-03
20200307,2020-03-07,2020,3,1,5,10,2020-03
20200308,2020-03-08,2020,3,1,6,10,2020-03
20200309,2020-03-09,2020,3,1,0,11,2020-03
20200310,2020-03-10,2020,3,1,1,11,2020-03
20200311,2020-03-11,2020,3,1,2,11,2020-03
20200312,2020-03-12,2020,3,1,3,11,2020-03
20200313,2020-03-13,2020,3,1,4,11,2020-03
